Country,Year,State,Type of Region,Month,Peak electricity demand (UOM:MW(MegaWatt)) |Scaling Factor:1,Peak electricity met (UOM:MW(MegaWatt)) |Scaling Factor:1,"Peak Electricity Demand Not Met (UOM:MW(Megawatt)), Scaling Factor:1","Percentage Of Peak Electricity Demand Not Met (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2024",Andaman And Nicobar IslAnds,Eastern Region,"June, 2024",63.4,61,2.4,4.00%
India,"Financial Year (Apr - Mar), 2024",Andhra Pradesh,Southern Region,"June, 2024",12578,12578,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Arunachal Pradesh,North East Region,"June, 2024",170,170,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Assam,North East Region,"June, 2024",2392.442,2386,6.44,0.00%
India,"Financial Year (Apr - Mar), 2024",Bihar,Eastern Region,"June, 2024",7604.293363,7600.96794,3.33,0.00%
India,"Financial Year (Apr - Mar), 2024",ChAndigarh,Northern Region,"June, 2024",449,449,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Chhattisgarh,Western Region,"June, 2024",5438.25,5438.25,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Delhi,Northern Region,"June, 2024",8656,8656,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Goa,Western Region,"June, 2024",798.5,798.5,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Gujarat,Western Region,"June, 2024",25588,25588,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Haryana,Northern Region,"June, 2024",14469,14469,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Himachal Pradesh,Northern Region,"June, 2024",1919,1919,0,0.00%
India,"Financial Year (Apr - Mar), 2024",JharkhAnd,Eastern Region,"June, 2024",2288.960407,2288.960407,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Karnataka,Southern Region,"June, 2024",14357.2,14335,22.2,0.00%
India,"Financial Year (Apr - Mar), 2024",Kerala,Southern Region,"June, 2024",4383.2929,4383.2929,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Lakshadweep,Southern Region,"June, 2024",11.7432,11.7432,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Madhya Pradesh,Western Region,"June, 2024",13953,13953,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Maharashtra,Western Region,"June, 2024",28310.004,28310.004,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Manipur,North East Region,"June, 2024",225.405,225,0.41,0.00%
India,"Financial Year (Apr - Mar), 2024",Meghalaya,North East Region,"June, 2024",330,330,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Mizoram,North East Region,"June, 2024",126,126,0,0.00%
India,"Financial Year (Apr - Mar), 2024",NagalAnd,North East Region,"June, 2024",184,184,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Odisha,Eastern Region,"June, 2024",6905.10975,6905.10975,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Puducherry,Southern Region,"June, 2024",527.090327,526.897827,0.19,0.00%
India,"Financial Year (Apr - Mar), 2024",Punjab,Northern Region,"June, 2024",16057.96,16057.96,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Rajasthan,Northern Region,"June, 2024",17774,17774,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Sikkim,Eastern Region,"June, 2024",98.96259157,98.876075,0.09,0.00%
India,"Financial Year (Apr - Mar), 2024",Tamil Nadu,Southern Region,"June, 2024",18501.22583,18497.5525,3.67,0.00%
India,"Financial Year (Apr - Mar), 2024",Telangana,Southern Region,"June, 2024",11244,11244,0,0.00%
India,"Financial Year (Apr - Mar), 2024",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"June, 2024",1353,1353,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Tripura,North East Region,"June, 2024",353,353,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Uttar Pradesh,Northern Region,"June, 2024",30618,30618,0,0.00%
India,"Financial Year (Apr - Mar), 2024",UttarakhAnd,Northern Region,"June, 2024",2863,2863,0,0.00%
India,"Financial Year (Apr - Mar), 2024",West Bengal,Eastern Region,"June, 2024",12187.38951,12187.38951,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Andaman And Nicobar IslAnds,Eastern Region,"May, 2024",69.8,63.5,6.3,9.00%
India,"Financial Year (Apr - Mar), 2024",Andhra Pradesh,Southern Region,"May, 2024",13712,13712,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Arunachal Pradesh,North East Region,"May, 2024",198.059,198,0.06,0.00%
India,"Financial Year (Apr - Mar), 2024",Assam,North East Region,"May, 2024",2405.442,2404,1.44,0.00%
India,"Financial Year (Apr - Mar), 2024",Bihar,Eastern Region,"May, 2024",7484.62762,7465.683448,18.94,0.00%
India,"Financial Year (Apr - Mar), 2024",ChAndigarh,Northern Region,"May, 2024",432,432,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Chhattisgarh,Western Region,"May, 2024",6072.5,6072.5,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Delhi,Northern Region,"May, 2024",8302,8302,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Goa,Western Region,"May, 2024",803,803,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Gujarat,Western Region,"May, 2024",24922,24922,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Haryana,Northern Region,"May, 2024",12451,12451,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Himachal Pradesh,Northern Region,"May, 2024",1827,1827,0,0.00%
India,"Financial Year (Apr - Mar), 2024",JharkhAnd,Eastern Region,"May, 2024",2295.075393,2291.666539,3.41,0.00%
India,"Financial Year (Apr - Mar), 2024",Karnataka,Southern Region,"May, 2024",16826,16826,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Kerala,Southern Region,"May, 2024",5797,5797,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Lakshadweep,Southern Region,"May, 2024",12.744,12.744,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Madhya Pradesh,Western Region,"May, 2024",14309,14309,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Maharashtra,Western Region,"May, 2024",28452.3,28452.3,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Manipur,North East Region,"May, 2024",227,227,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Meghalaya,North East Region,"May, 2024",395.773,394,1.77,0.00%
India,"Financial Year (Apr - Mar), 2024",Mizoram,North East Region,"May, 2024",130,130,0,0.00%
India,"Financial Year (Apr - Mar), 2024",NagalAnd,North East Region,"May, 2024",177,177,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Odisha,Eastern Region,"May, 2024",6866.865298,6861.080353,5.78,0.00%
India,"Financial Year (Apr - Mar), 2024",Puducherry,Southern Region,"May, 2024",548.535828,548.535828,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Punjab,Northern Region,"May, 2024",14366.2,14366.2,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Rajasthan,Northern Region,"May, 2024",17567,17567,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Sikkim,Eastern Region,"May, 2024",104.371294,104.371294,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Tamil Nadu,Southern Region,"May, 2024",20784.0827,20784.0827,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Telangana,Southern Region,"May, 2024",11257,11257,0,0.00%
India,"Financial Year (Apr - Mar), 2024",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"May, 2024",1348,1348,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Tripura,North East Region,"May, 2024",386.428,386,0.43,0.00%
India,"Financial Year (Apr - Mar), 2024",Uttar Pradesh,Northern Region,"May, 2024",29727,29727,0,0.00%
India,"Financial Year (Apr - Mar), 2024",UttarakhAnd,Northern Region,"May, 2024",2781,2781,0,0.00%
India,"Financial Year (Apr - Mar), 2024",West Bengal,Eastern Region,"May, 2024",12191.65509,12187.38951,4.27,0.00%
