Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2024,Andaman And Nicobar IslAnds,Eastern Region,Jun-24,63.4,61,2.4,4.00%
India,FY-2024,Andhra Pradesh,Southern Region,Jun-24,12578,12578,0,0.00%
India,FY-2024,Arunachal Pradesh,North East Region,Jun-24,170,170,0,0.00%
India,FY-2024,Assam,North East Region,Jun-24,2392.442,2386,6.44,0.00%
India,FY-2024,Bihar,Eastern Region,Jun-24,7604.293363,7600.96794,3.33,0.00%
India,FY-2024,ChAndigarh,Northern Region,Jun-24,449,449,0,0.00%
India,FY-2024,Chhattisgarh,Western Region,Jun-24,5438.25,5438.25,0,0.00%
India,FY-2024,Delhi,Northern Region,Jun-24,8656,8656,0,0.00%
India,FY-2024,Goa,Western Region,Jun-24,798.5,798.5,0,0.00%
India,FY-2024,Gujarat,Western Region,Jun-24,25588,25588,0,0.00%
India,FY-2024,Haryana,Northern Region,Jun-24,14469,14469,0,0.00%
India,FY-2024,Himachal Pradesh,Northern Region,Jun-24,1919,1919,0,0.00%
India,FY-2024,JharkhAnd,Eastern Region,Jun-24,2288.960407,2288.960407,0,0.00%
India,FY-2024,Karnataka,Southern Region,Jun-24,14357.2,14335,22.2,0.00%
India,FY-2024,Kerala,Southern Region,Jun-24,4383.2929,4383.2929,0,0.00%
India,FY-2024,Lakshadweep,Southern Region,Jun-24,11.7432,11.7432,0,0.00%
India,FY-2024,Madhya Pradesh,Western Region,Jun-24,13953,13953,0,0.00%
India,FY-2024,Maharashtra,Western Region,Jun-24,28310.004,28310.004,0,0.00%
India,FY-2024,Manipur,North East Region,Jun-24,225.405,225,0.41,0.00%
India,FY-2024,Meghalaya,North East Region,Jun-24,330,330,0,0.00%
India,FY-2024,Mizoram,North East Region,Jun-24,126,126,0,0.00%
India,FY-2024,NagalAnd,North East Region,Jun-24,184,184,0,0.00%
India,FY-2024,Odisha,Eastern Region,Jun-24,6905.10975,6905.10975,0,0.00%
India,FY-2024,Puducherry,Southern Region,Jun-24,527.090327,526.897827,0.19,0.00%
India,FY-2024,Punjab,Northern Region,Jun-24,16057.96,16057.96,0,0.00%
India,FY-2024,Rajasthan,Northern Region,Jun-24,17774,17774,0,0.00%
India,FY-2024,Sikkim,Eastern Region,Jun-24,98.96259157,98.876075,0.09,0.00%
India,FY-2024,Tamil Nadu,Southern Region,Jun-24,18501.22583,18497.5525,3.67,0.00%
India,FY-2024,Telangana,Southern Region,Jun-24,11244,11244,0,0.00%
India,FY-2024,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Jun-24,1353,1353,0,0.00%
India,FY-2024,Tripura,North East Region,Jun-24,353,353,0,0.00%
India,FY-2024,Uttar Pradesh,Northern Region,Jun-24,30618,30618,0,0.00%
India,FY-2024,UttarakhAnd,Northern Region,Jun-24,2863,2863,0,0.00%
